split,source,label_id,category_id,class_name,class_slug,image_id,annotation_id,source_image,crop_path,bbox_xywh,crop_xyxy
train,real,1,24,zebra,zebra,318763,590483,/root/.cache/kagglehub/datasets/abdelrahmanelgharibx/coco2017-subset/versions/1/coco/000000318763.jpg,data/crops/train/zebra/train_zebra_00000_img318763_ann590483.jpg,"[210.61, 155.32, 243.32, 171.18]","[174, 129, 490, 352]"
train,real,1,24,zebra,zebra,437467,590315,/root/.cache/kagglehub/datasets/abdelrahmanelgharibx/coco2017-subset/versions/1/coco/000000437467.jpg,data/crops/train/zebra/train_zebra_00001_img437467_ann590315.jpg,"[147.64, 194.21, 93.78, 96.81]","[133, 179, 255, 305]"
train,real,1,24,zebra,zebra,409889,1412860,/root/.cache/kagglehub/datasets/abdelrahmanelgharibx/coco2017-subset/versions/1/coco/000000409889.jpg,data/crops/train/zebra/train_zebra_00002_img409889_ann1412860.jpg,"[160.54, 261.96, 65.78, 33.71]","[150, 256, 236, 300]"
train,real,1,24,zebra,zebra,364571,1413210,/root/.cache/kagglehub/datasets/abdelrahmanelgharibx/coco2017-subset/versions/1/coco/000000364571.jpg,data/crops/train/zebra/train_zebra_00003_img364571_ann1413210.jpg,"[216.15, 179.28, 59.26, 35.67]","[207, 173, 284, 220]"
train,real,1,24,zebra,zebra,297112,594353,/root/.cache/kagglehub/datasets/abdelrahmanelgharibx/coco2017-subset/versions/1/coco/000000297112.jpg,data/crops/train/zebra/train_zebra_00004_img297112_ann594353.jpg,"[357.69, 21.58, 142.31, 226.74]","[336, 0, 500, 282]"
train,real,1,24,zebra,zebra,454414,1412961,/root/.cache/kagglehub/datasets/abdelrahmanelgharibx/coco2017-subset/versions/1/coco/000000454414.jpg,data/crops/train/zebra/train_zebra_00005_img454414_ann1412961.jpg,"[65.25, 95.96, 106.51, 186.15]","[49, 68, 187, 310]"
train,real,1,24,zebra,zebra,556406,594089,/root/.cache/kagglehub/datasets/abdelrahmanelgharibx/coco2017-subset/versions/1/coco/000000556406.jpg,data/crops/train/zebra/train_zebra_00006_img556406_ann594089.jpg,"[226.18, 179.47, 56.33, 34.07]","[217, 174, 290, 218]"
train,real,1,24,zebra,zebra,82740,1413282,/root/.cache/kagglehub/datasets/abdelrahmanelgharibx/coco2017-subset/versions/1/coco/000000082740.jpg,data/crops/train/zebra/train_zebra_00007_img82740_ann1413282.jpg,"[98.25, 200.99, 80.55, 221.07]","[86, 167, 190, 438]"
train,real,1,24,zebra,zebra,61760,593876,/root/.cache/kagglehub/datasets/abdelrahmanelgharibx/coco2017-subset/versions/1/coco/000000061760.jpg,data/crops/train/zebra/train_zebra_00008_img61760_ann593876.jpg,"[412.38, 0.0, 123.48, 148.81]","[393, 0, 554, 171]"
train,real,1,24,zebra,zebra,127286,588185,/root/.cache/kagglehub/datasets/abdelrahmanelgharibx/coco2017-subset/versions/1/coco/000000127286.jpg,data/crops/train/zebra/train_zebra_00009_img127286_ann588185.jpg,"[172.51, 70.84, 246.52, 153.71]","[135, 47, 456, 247]"
